courseId,courseSlug,section,platformScreen,platformField,fieldKey,inputType,copyPasteValue,displayLabel,sourceReferenceTable,required,notes
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Primary Capacity Area,capacityAreaId,Dropdown,CAP-ADV,Evidence-Based Advocacy and Civic Engagement,CapacityArea.csv,Yes,"Use CAP-ADV as the primary capacity area because HRBA is treated as a standard family, not a capacity area, in the enhanced reference architecture."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Specific CSO Practice,csoPracticeId,Filtered Dropdown,PRAC-ADV-SAFE-MSG,Draft safe evidence-based advocacy messages,CSOPractice.csv,Yes,Dropdown should be filtered by selected capacityAreaId = CAP-ADV.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Secondary Capacity Area,secondaryCapacityAreaIds,Multi-select Dropdown,CAP-HRSAFE,"Human Resources, Inclusion, and Safeguarding",CapacityArea.csv,Optional,"Use as secondary area because safe advocacy requires do-no-harm, confidentiality, and safeguarding sensitivity."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Standard Families,standardFamilyIds,Multi-select Dropdown,STD-HRBA; STD-EU-DGNEAR; STD-SAFE-DNH,Human Rights-Based Approach Principles; EU / DG NEAR Civil Society Guidelines; Safeguarding and Do No Harm,StandardFamily.csv,Recommended,Use semicolon-separated IDs if imported from CSV. UI can display labels.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Primary Indicator,primaryIndicatorIds,Filtered Multi-select Dropdown,IND-ADV-MSG-01,EU-ADV-01 — Evidence-based advocacy message,Indicator.csv,Recommended,Filter by CAP-ADV + PRAC-ADV-SAFE-MSG + selected standards. This is the main indicator for course monitoring alignment.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Capacity focus,Metadata / Capacity Linkage,Secondary Indicator,secondaryIndicatorIds,Filtered Multi-select Dropdown,IND-ADV-SAFE-02,DNH-ADV-02 — Safe civic-space communication,Indicator.csv,Optional,"Use as secondary indicator because the course emphasizes safe, responsible and risk-aware advocacy communication."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Practice gap,Metadata / Capacity Linkage,Target CSO Profile,targetCsoProfile,Textarea,"Local and grassroots CSOs working with communities on governance, inclusion, service access, protection, accountability, or civic engagement issues. The course is especially relevant for organizations that already conduct community outreach but want to make advocacy more rights-based, participatory, evidence-informed, and safe.",,Course,Yes before review,Paste into target CSO profile.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Practice gap,Metadata / Capacity Linkage,Capacity Gap Addressed,capacityGapAddressed,Textarea,"Many local CSOs understand advocacy as awareness raising, public messaging, or one-off meetings with officials. They need practical skills to design advocacy that identifies rights holders and duty bearers, uses community evidence, protects affected people, manages risk, and connects advocacy messages to accountability and non-discrimination.",,Course,Yes,Core capacity gap statement.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Practice gap,Metadata / Capacity Linkage,Current Practice / Baseline,currentPracticeBaseline,Textarea,"Many participating CSOs already raise community issues with local actors, but advocacy messages are often broad, activity-focused, unsupported by clear evidence, or framed without enough attention to rights holders, duty bearers, consent, confidentiality, non-discrimination, and civic-space risk.",,Course.analysisMetadataJson,Recommended,Stores the baseline/current practice anchor for course-fit and monitoring.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Practice gap,Metadata / Capacity Linkage,Desired Practice,desiredPractice,Textarea,"CSO staff can prepare a short, safe, HRBA-informed advocacy action outline that identifies affected rights holders, relevant duty bearers, a specific advocacy objective, credible non-sensitive evidence, key risks, and a constructive message for engagement.",,Course.analysisMetadataJson,Recommended,Observable desired practice; should guide outcomes and Build Studio alignment.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Practice gap,Metadata / Capacity Linkage,Evidence Source Type,evidenceSourceType,Multi-select Dropdown,RDI-SRC-WORKSHOP; RDI-SRC-FGD; RDI-SRC-DOCREVIEW,Workshop/Training Observation; Focus Group Discussion; Document Review,_Lists.csv,Optional,Use available list IDs if these are seeded as ReferenceDataItem values.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,Root Cause Summary,rootCauseSummary,Textarea,"The main root cause is a skill gap: participants may know advocacy is important, but need practice applying HRBA logic, evidence use, safe message framing, and stakeholder/risk judgment. Some motivation and environment barriers may also appear, especially leadership support, civic-space sensitivity, and lack of organizational review routines.",,Course.analysisMetadataJson,Optional,Summarizes why learning is appropriate but not sufficient for all barriers.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,K/S/M/E Primary,ksmePrimary,Dropdown,RDI-CAUSE-S,Skill,_Lists.csv,Yes,Primary gap is skill: applying HRBA and safe advocacy judgment.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,K/S/M/E Secondary,ksmeSecondary,Multi-select Dropdown,RDI-CAUSE-K; RDI-CAUSE-M; RDI-CAUSE-E,Knowledge; Motivation; Environment,_Lists.csv,Optional,Knowledge concepts are needed; motivation/environment barriers are surfaced but routed to follow-up.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,Learning Can Help,learningCanHelp,Dropdown,RDI-LCH-PARTLY,Partly,_Lists.csv,Yes,"A course can build knowledge and skill, but some barriers require peer/facilitator/organizational support."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,Course-fit Decision,courseFitDecision,Dropdown,RDI-ROUTE-PLUS,Course plus support,_Lists.csv,Yes,Course is appropriate for the K/S component; follow-up support is recommended for real-world application and risk management.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Course-fit logic,Metadata / Capacity Linkage,Course-fit Note,courseFitNote,Textarea,"This course is a good Phase 1 fit for the knowledge and skill components of HRBA advocacy. It should not claim to solve all civic-space, leadership, or resource barriers. The course should surface these barriers through reflection and practical activities and route them to peer review, coaching, or organizational follow-up.",,Course.analysisMetadataJson,Conditional,Required because the decision is course plus support.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Follow-up and safeguards,Metadata / Capacity Linkage,Intended Practice Improvement,intendedPracticeImprovement,Textarea,"After the course, participants will be able to prepare a simple HRBA advocacy action outline that identifies the issue, affected rights holders, relevant duty bearers, advocacy objective, evidence needs, risks, safe engagement steps, and a practical message.",,Course,Yes,"This should drive outcomes, blocks, final test, and preview copy."
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Follow-up and safeguards,Metadata / Capacity Linkage,Recommended Prerequisites,recommendedPrerequisites,Textarea,"Basic experience in community engagement, programme implementation, case documentation, or CSO advocacy is helpful but not required. Participants should bring one real advocacy issue from their organization or community context, but should avoid using identifiable sensitive personal details.",,Course,Optional,Paste if field exists.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Follow-up and safeguards,Metadata / Capacity Linkage,Related Follow-up Support,relatedFollowUpSupport,Textarea,"Recommended follow-up support includes peer review of advocacy action outlines, coaching on safe stakeholder engagement, and optional facilitator support to adapt the advocacy planning checklist into the organization’s own advocacy process.",,Course,Optional,Paste if field exists.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Follow-up and safeguards,Metadata / Capacity Linkage,Safeguarding / Sensitivity Note,safeguardingNote,Textarea,"Advocacy examples should avoid exposing names, locations, or personal details of affected individuals. Participants should use anonymized cases and consider consent, confidentiality, retaliation risk, and civic-space sensitivity before public engagement.",,Course.analysisMetadataJson,Recommended,Use for safety and reviewer QA.
COURSE-HRBA-ADVOCACY-PRACTICE,human-rights-based-advocacy-in-practice-for-local-csos,Follow-up and safeguards,Metadata / Capacity Linkage,Accessibility Note,accessibilityNote,Textarea,"Course materials should use plain language, short lessons, downloadable templates, image alt text, video transcripts where used, and low-bandwidth alternatives. Practical activities should be possible offline using printed worksheets.",,Course.analysisMetadataJson,Recommended,Supports mobile-first and accessibility QA.
